Buchungstag,Wertstellung,Zahlungsgegner,IBAN,BIC,Verwendungszweck,Betrag,Währung
2016-12-19,2016-12-19,SPENDEN UEBER GIROCE,,,VIELEN DANK FUER IHRE GIROCENTS-SPENDE. IHR SPENDEN-CODE U8DZHVZW,-0.82,EUR
2016-12-19,2016-12-17,GA NR00002077 BLZ29050101 3,,,17.12/07.59UHR SPKHB-F030,-50,EUR
2016-12-16,2016-12-16,HAMBURG HAUPTBAHNHOF KAMPS,DE85120800000101752405,DRESDEFF120,2016-12-14T19:41:13 Karte3 2018-12,-8.5,EUR
2016-12-16,2016-12-16,GA NR00002126 BLZ29050101 3,,,16.12/07.00UHR SPKHB-F507,-50,EUR
2016-12-16,2016-12-16,AMAZON PAYMENTS EUROPE S.C.A.,DE87300308801908262006,TUBDDEDD,028-2889911-4439545 Amazon .Mktplce EU-DE 224707322377 3939,-54.95,EUR
2016-12-15,2016-12-15,AMAZON PAYMENTS EUROPE S.C.A.,DE87300308801908262006,TUBDDEDD,028-2874406-0604349 Amazon .Mktplce EU-DE 072993063008 8195,-11.9,EUR
2016-12-14,2016-12-14,"AMAZON EU S.A R.L., NIEDERLASSUNG DEUTSCHLAND",DE93300308800013441006,TUBDDEDD,028-0033959-6226738 008 00 88 66 32 38 225175339896188 4,48.89,EUR
2016-12-14,2016-12-14,UNTERWEGS BREMEN,DE30300500000001053149,WELADEDDXXX,ELV61440508 12.12 17.37 ME3,-31.4,EUR
2016-12-13,2016-12-13,SG-CardProcess GmbH,DE84500604000012020802,GENODEFF,2016-12-12T17:48:34 Karte3 2018-12,-12.08,EUR
2016-12-13,2016-12-13,PayPal Europe S.a.r.l. et Cie S.C.A,DE88500700100175526303,DEUTDEFFXXX,"PP.4835.PP . KLM, Ihr Einka uf bei KLM",-496.72,EUR
2016-12-13,2016-12-13,AMAZON PAYMENTS EUROPE S.C.A.,DE87300308801908262006,TUBDDEDD,028-2485626-8957106 Amazon .Mktplce EU-DE 043552060581 7536,-13.98,EUR
2016-12-12,2016-12-12,GA NR00002061 BLZ29050101 3,,,12.12/17.03UHR SPKHB-F007,-50,EUR
2016-12-12,2016-12-12,VAPIANO,DE71380400070103025300,COBADEFFXXX,2016-12-11T18:24:44 Karte3 2018-12,-27.95,EUR
2016-12-12,2016-12-12,ALDI GmbH + Co. KG WEYHE,DE58300500000001186311,WELADEDDXXX,2016-12-10T18:07:15 Karte3 2018-12,-47.88,EUR
2016-12-12,2016-12-12,0055 CINESTAR BREMEN,DE97664926000009998500,GENODE61APP,ELV54271182 07.12 19.39 ME3,-18,EUR
2016-12-09,2016-12-09,GA NR00002061 BLZ29050101 3,,,09.12/17.23UHR SPKHB-F007,-50,EUR
2016-12-08,2016-12-08,PayPal Europe S.a.r.l. et Cie S.C.A,DE88500700100175526303,DEUTDEFFXXX,"PP.4835.PP . NETFLIX.COM, I hr Einkauf bei NETFLIX.COM",-9.99,EUR
2016-12-06,2016-12-06,Verein fuer Hochschulsport,DE88290400900172511800,COBADEFFXXX,Erstattung Kursgebuhren 110 0 Fruhjahr 2015,32,EUR
2016-12-06,2016-12-06,Telekom Deutschland GmbH,DE04200100200198418205,PBNKDEFFXXX,Rech.Nr. 9622941635 251116 Vertragskonto 5604026549,-45.07,EUR
2016-12-06,2016-12-06,AMAZON PAYMENTS EUROPE S.C.A.,DE87300308801908262006,TUBDDEDD,306-1287920-7512361 Amazon .Mktplce EU-DE 096081299432 4552,-27.04,EUR
2016-12-05,2016-12-05,Shell Deutschland Oil GmbH,DE70502109000217206049,CITIDEFF,2016-12-03T22:41:55 Karte3 2018-12,-55.62,EUR
2016-12-05,2016-12-05,REWE Bremen Kulenkampffallee,DE94500101111932685100,ESSEDE5F,2016-12-03T14:50:02 Karte3 2018-12,-91.37,EUR
2016-12-05,2016-12-05,PayPal Europe S.a.r.l. et Cie S.C.A,DE88500700100175526303,DEUTDEFFXXX,"PP.4835.PP . GENMYMODEL, Ih r Einkauf bei GENMYMODEL",-5.73,EUR
2016-12-05,2016-12-05,PayPal Europe S.a.r.l. et Cie S.C.A,DE88500700100175526303,DEUTDEFFXXX,"PP.4835.PP . PATREON, Ihr E inkauf bei PATREON",-1.16,EUR
2016-12-05,2016-12-05,SPENDEN UEBER GIROCE,,,VIELEN DANK FUER IHRE GIROCENTS-SPENDE. IHR SPENDEN-CODE VQJ7YSYK,-0.94,EUR
2016-12-02,2016-12-02,"AMAZON EU S.A R.L., NIEDERLASSUNG DEUTSCHLAND",DE93300308800013441006,TUBDDEDD,028-0033959-6226738 Amazon. de 2251702113404102,-48.89,EUR
2016-12-01,2016-12-01,Gothaer Lebensversicherung AG,DE56100500006632040657,BELADEBEXXX,79-712827-60 ABBUCHUNG AM 0 1.12.2016 LEBENS-VERSICHERU NG FILIP RYCHNAVSKY GL,-75.1,EUR
2016-12-01,2016-12-01,Bremer Straßenbahn Aktiengesellschaft,DE93290500001002340009,BRLADE22XXX,Sollstellung 30141307/1/79 01.12.2016/,-57.1,EUR
2016-12-01,2016-12-01,"AMAZON EU S.A R.L., NIEDERLASSUNG DEUTSCHLAND",DE93300308800013441006,TUBDDEDD,028-4552122-0069134 Amazon. de 0803907102622919,-39.99,EUR
2016-12-01,2016-12-01,LIESELOTTE PISO,DE45200100200411761207,PBNKDEFFXXX,MIETE JUNGMANN RYCHNAVSKY,-725,EUR
2016-12-01,2016-12-01,,,,"Entgelte vom 01.11.2016 bis 30.11.2016                               7,30-  Grundpreis                  1 x    4,90                4,90-  Porto                       1 x    0,70                0,70- Porto                       2 x    0,85                1,70- -------------- Abrechnung 30.11.2016                                                7,30- Entgeltabrechnung",-7.3,EUR
2016-11-30,2016-11-30,REWE Bremen Kulenkampffallee,DE94500101111932685100,ESSEDE5F,2016-11-29T18:33:17 Karte3 2018-12,-73.87,EUR
2016-11-29,2016-11-29,"SPIELWAREN WICHLEIN,BREMEN",DE64300500000001777515,WELADEDDXXX,2016-11-24T17:22:02 Karte3 2018-12,-25.39,EUR
2016-11-29,2016-11-29,REWE Bremen Kulenkampffallee,DE94500101111932685100,ESSEDE5F,251119442658533181256004373 REWE SAGT DANKE. 41404213,-49.14,EUR
2016-11-28,2016-11-26,GA NR00002077 BLZ29050101 3,,,26.11/14.36UHR SPKHB-F030,-50,EUR
2016-11-28,2016-11-28,,,,"Information zur Einlagensicherung  Auf der Grundlage einer EU-Richtlinie ist am 3. Juli 2015 in Deutschland das Einlagensicherungsgesetz in Kraft getreten. Aufgrund gesetzlicher Vor- gaben sind wir verpflichtet, Sie einmal jährlich über die Einlagensicherung zu informieren und Ihnen den ""Informationsbogen für den Einleger"" zur Ver- fügung zu stellen. Dieser Bogen liegt für Sie in allen Geschäftsstellen bereit und kann auch auf unserer Homepage eingesehen werden unter: https://finanzcenter.sparkasse-bremen.de/einlagensicherung.html  Über diese gesetzliche Einlagensicherung hinaus bleibt die Instituts- sicherung der Sparkassen-Finanzgruppe bestehen. Durch diese soll der Ent- schädigungsfall vermieden und die Geschäftsbeziehung zum Kunden dauerhaft fortgeführt werden. Für Sie als Kundin/Kunde ändert sich somit nichts. Für Fragen stehen Ihnen unsere Mitarbeiter gerne zur Verfügung. Information zur Einla",0,
2016-11-25,2016-11-25,"AMAZON EU S.A R.L., NIEDERLASSUNG DEUTSCHLAND",DE93300308800013441006,TUBDDEDD,028-1814904-8571522 Amazon. de 2963699497836812,-23.98,EUR
2016-11-25,2016-11-25,REWE Bremen Kulenkampffallee,DE94500101111932685100,ESSEDE5F,171121282656663181256004372 REWE SAGT DANKE. 41404213,-52.22,EUR
2016-11-22,2016-11-22,GA NR00002047 BLZ29050101 3,,,22.11/17.38UHR SPKHB-F001,-50,EUR
2016-11-21,2016-11-21,SPK BREMEN,DE08290501019000480708,SBREDE22XXX,"GeldKarte/girogo Laden 19.1 1 08:28 SPKHB-F030 DIE SPAR KASSE BREMEN 29050101 00002 077 Karte 3 Ladebetrag 25,0 0",-25,EUR
2016-11-21,2016-11-19,GA NR00002077 BLZ29050101 3,,,19.11/08.27UHR SPKHB-F030,-30,EUR
2016-11-16,2016-11-16,PayPal Europe S.a.r.l. et Cie S.C.A,DE88500700100175526303,DEUTDEFFXXX,"PP.4835.PP . XING.COM, Ihr Einkauf bei XING.COM",-14.85,EUR
2016-11-15,2016-11-15,PayPal Europe S.a.r.l. et Cie S.C.A,DE88500700100175526303,DEUTDEFFXXX,"PP.4835.PP . WIKIMEDIA, Ihr Einkauf bei WIKIMEDIA",-5,EUR
2016-11-15,2016-11-15,Radio Bremen Anstalt d.öffentl.Rechts,DE22290500001071234567,BRLADE22XXX,Rundfunk 10.2016 - 12.2016 Beitragsnr. 547734877 Aende rungen ganz bequem: www.run dfunkbeitrag.de,-52.5,EUR
2016-11-15,2016-11-15,REWE Bremen Kulenkampffallee,DE94500101111932685100,ESSEDE5F,121109412647283181256004372 REWE SAGT DANKE. 41404213,-32.93,EUR
2016-11-14,2016-11-14,IL LAGO,DE65290501010081012395,SBREDE22XXX,2016-11-13T12:31:49 Karte3 2018-12,-52,EUR
2016-11-14,2016-11-12,GA NR00002077 BLZ29050101 3,,,12.11/09.07UHR SPKHB-F030,-50,EUR
2016-11-11,2016-11-11,REWE Bremen Kulenkampffallee,DE94500101111932685100,ESSEDE5F,091118222642513181256004372 REWE SAGT DANKE. 41404213,-36.95,EUR
2016-11-09,2016-11-09,BREPARK GmbH,DE30290500001004499005,BRLADE22XXX,EASY-KARTE,-1.6,EUR
2016-11-09,2016-11-09,PayPal Europe S.a.r.l. et Cie S.C.A,DE88500700100175526303,DEUTDEFFXXX,"PP.4835.PP . NETFLIX.COM, I hr Einkauf bei NETFLIX.COM",-9.99,EUR
2016-11-08,2016-11-08,Landesbank Hessen-Thuringen Girozentrale,DE47500500000959566027,HELADEFF,"2016-11-05T10:04:24 Karte3 2099-12 Original 2000,81 CZ K 1 Euro=26,94439000 CZK En tgelt 0,77 EUR",-75.03,EUR
2016-11-07,2016-11-07,Praxis Dr. Jan von Lübcke,DE63300606010308110697,DAAEDEDDXXX,ELV58054550 03.11 08.47,-70,EUR
2016-11-07,2016-11-07,INET WEBSERVICES,DE13440100460301633466,PBNKDEFFXXX,"MD-10555-MD-2294243-MDDATUM 05.11.2016, 19.41 UHR1.TAN 033912 ANZAHL 1",-6,EUR
2016-11-07,2016-11-07,LIESELOTTE PISO,DE45200100200411761207,PBNKDEFFXXX,"ABRECHNUNG 2015 JUNGMANN RY CHNAVSKY              DATUM 05.11.2016, 19.34 UHR1.TAN 811396 ANZAHL 1",-362.18,EUR
2016-11-04,2016-11-04,Telekom Deutschland GmbH,DE04200100200198418205,PBNKDEFFXXX,Rech.Nr. 9622698605 261016 Vertragskonto 5604026549,-42.15,EUR
2016-11-03,2016-11-03,GA NR00002077 BLZ29050101 3,,,03.11/17.23UHR SPKHB-F030,-40,EUR
2016-11-03,2016-11-03,PayPal Europe S.a.r.l. et Cie S.C.A,DE88500700100175526303,DEUTDEFFXXX,"PP.4835.PP . GENMYMODEL, Ih r Einkauf bei GENMYMODEL",-5.54,EUR
2016-11-03,2016-11-03,PayPal Europe S.a.r.l. et Cie S.C.A,DE88500700100175526303,DEUTDEFFXXX,"PP.4835.PP . PATREON, Ihr E inkauf bei PATREON",-1.12,EUR
2016-11-03,2016-11-03,PayPal Europe S.a.r.l. et Cie S.C.A,DE88500700100175526303,DEUTDEFFXXX,"PP.4835.PP . ALPHACOMM, Ihr Einkauf bei ALPHACOMM",-15,EUR
2016-11-02,2016-11-02,REWE Bremen Kulenkampffallee,DE94500101111932685100,ESSEDE5F,311019102627443181256004372 REWE SAGT DANKE. 41404213,-14.79,EUR
2016-11-01,2016-11-01,Gothaer Lebensversicherung AG,DE56100500006632040657,BELADEBEXXX,79-712827-60 ABBUCHUNG AM 0 1.11.2016 LEBENS-VERSICHERU NG FILIP RYCHNAVSKY GL,-75.1,EUR
2016-11-01,2016-11-01,AMAZON PAYMENTS EUROPE S.C.A.,DE87300308801908262006,TUBDDEDD,028-3165448-9046718 Amazon .Mktplce EU-DE 163115629958 7205,-10.95,EUR
2016-11-01,2016-11-01,Bremer Straßenbahn Aktiengesellschaft,DE93290500001002340009,BRLADE22XXX,Sollstellung 30141307/1/78 01.11.2016/,-57.1,EUR
2016-11-01,2016-11-01,LIESELOTTE PISO,DE45200100200411761207,PBNKDEFFXXX,MIETE JUNGMANN RYCHNAVSKY,-725,EUR
2016-11-01,2016-11-01,,,,"Entgelte vom 01.10.2016 bis 31.10.2016                               4,90-  Grundpreis                  1 x    4,90                4,90- -------------- Abrechnung 31.10.2016                                                4,90- Entgeltabrechnung",-4.9,EUR
2016-10-31,2016-10-31,Lastschrift aus Kartenzahlung,DE19370100500555650503,PBNKDEFFXXX,2016-10-30T13:33:24 Karte3 2018-12,-45,EUR
2016-10-31,2016-10-31,Shell Deutschland Oil GmbH,DE70502109000217206049,CITIDEFF,2016-10-30T15:46:58 Karte3 2018-12,-39.58,EUR
2016-10-31,2016-10-31,SCHLICKEISEN OHG//GRAAL MUERITZ/DE,DE28200907004291026071,EDEKDEHHXXX,2016-10-28T17:26:26 Karte3 2018-12,-28.26,EUR
2016-10-31,2016-10-31,DANKE SAGT DAS HAUS AM MEER,DE87120300000000185777,BYLADEM1001,2016-10-29T14:48:48 Karte3 2018-12,-39.6,EUR
2016-10-28,2016-10-28,DB Vertrieb GmbH,DE02100100100152517108,PBNKDEFFXXX,Fahrschein BSHG2G,-139,EUR
2016-10-27,2016-10-27,GA NR00002077 BLZ29050101 3,,,27.10/08.07UHR SPKHB-F030,-150,EUR
2016-10-25,2016-10-25,REWE Bremen Kulenkampffallee,DE94500101111932685100,ESSEDE5F,221011062612393181256004372 REWE SAGT DANKE. 41404213,-26.7,EUR
2016-10-24,2016-10-24,RESTAURANT JANNIS,DE44200505501290125333,HASPDEHHXXX,2016-10-23T16:41:28 Karte3 2018-12,-34,EUR
2016-10-24,2016-10-24,John GmbH,DE23291655450051400402,GENODEF1OYT,2016-10-23T07:40:00 Karte3 2018-12,-16.36,EUR
2016-10-24,2016-10-22,GA NR00002077 BLZ29050101 3,,,22.10/16.27UHR SPKHB-F030,-50,EUR
2016-10-18,2016-10-18,REWE Bremen Kulenkampffallee,DE94500101111932685100,ESSEDE5F,151011302601173181256004372 REWE SAGT DANKE. 41404213,-68.83,EUR
2016-10-18,2016-10-18,JET TANKSTELLEN DEUTSCHLAND,DE69500400000600247129,COBADEFFXXX,161017513942087181200005770 OLV85543324 16.10 17.51 ME 0,-49.82,EUR
2016-10-17,2016-10-16,GA NR00002077 BLZ29050101 3,,,16.10/13.18UHR SPKHB-F030,-50,EUR
2016-10-14,2016-10-14,Filmkunsttheater Gondel,DE18290501010001110170,SBREDE22XXX,2016-10-12T20:05:22 Karte3 2018-12,-19,EUR
2016-10-13,2016-10-13,BREPARK GmbH,DE30290500001004499005,BRLADE22XXX,EASY-KARTE,-1.6,EUR
2016-10-12,2016-10-12,GA NR00002077 BLZ29050101 3,,,12.10/08.42UHR SPKHB-F030,-50,EUR
2016-10-12,2016-10-12,Karin Rode,DE06201900030000222216,GENODEF1HH2,"DIVISION CONFERENCE SUNDAY /KATHARINA JUNGMANN   DATUM 11.10.2016, 21.11 UHR1.TAN 598007 ANZAHL 1",-15,EUR
2016-10-11,2016-10-11,Landesbank Hessen-Thuringen Girozentrale,DE47500500000959566027,HELADEFF,2016-10-08T17:51:26 Karte3 2099-12,-49.99,EUR
2016-10-11,2016-10-11,REWE Bremen Kulenkampffallee,DE94500101111932685100,ESSEDE5F,071018222032093181256004374 REWE SAGT DANKE. 41404213,-32.86,EUR
2016-10-11,2016-10-11,STADT-PARF. PIEPER,DE10500400000586034102,DRESDEFF360,ELV61433278 08.10 16.47 ME3,-23.8,EUR
2016-10-10,2016-10-10,"DANKE, SAGT IHR REAL TEAM",DE48300500000001108018,WELADEDDXXX,2016-10-08T18:41:10 Karte3 2018-12,-12.42,EUR
2016-10-10,2016-10-10,PayPal Europe S.a.r.l. et Cie S.C.A,DE88500700100175526303,DEUTDEFFXXX,"PP.4835.PP . NETFLIX COM, I hr Einkauf bei NETFLIX COM",-9.99,EUR
2016-10-10,2016-10-10,Karin Rode,DE06201900030000222216,GENODEF1HH2,"DIVISION CONFERENCE SUNDAY /FILIP RYCHNAVSKY (BREMER S PRECHSTUNDE)          DATUM 09.10.2016, 21.07 UHR1.TAN 330068 ANZAHL 1",-15,EUR
2016-10-07,2016-10-07,Lastschrift aus Kartenzahlung,DE66370100500555696508,PBNKDEFFXXX,2016-10-05T21:23:51 Karte3 2018-12,-17,EUR
2016-10-07,2016-10-07,Telekom Deutschland GmbH,DE04200100200198418205,PBNKDEFFXXX,Rech.Nr. 9622455332 270916 Vertragskonto 5604026549,-41.8,EUR
2016-10-06,2016-10-06,Landesbank Hessen-Thuringen Girozentrale,DE47500500000959566027,HELADEFF,2016-10-04T13:42:46 Karte3 2099-12,-5,EUR
2016-10-05,2016-10-05,SPENDEN UEBER GIROCE,,,VIELEN DANK FUER IHRE GIROCENTS-SPENDE. IHR SPENDEN-CODE NYF5J78V,-0.93,EUR
2016-10-05,2016-10-05,Landesbank Hessen-Thuringen Girozentrale,DE47500500000959566027,HELADEFF,2016-10-03T13:39:35 Karte3 2018-12,-17.02,EUR
2016-10-05,2016-10-05,PayPal Europe S.a.r.l. et Cie S.C.A,DE88500700100175526303,DEUTDEFFXXX,"PP.4835.PP . PATREON, Ihr E inkauf bei PATREON",-1.1,EUR
2016-10-05,2016-10-05,PayPal Europe S.a.r.l. et Cie S.C.A,DE88500700100175526303,DEUTDEFFXXX,"PP.4835.PP . GENMYMODEL, Ih r Einkauf bei GENMYMODEL",-5.41,EUR
2016-10-05,2016-10-05,PayPal Europe S.a.r.l. et Cie S.C.A,DE88500700100175526303,DEUTDEFFXXX,"PP.4835.PP . ALPHACOMM, Ihr Einkauf bei ALPHACOMM",-15,EUR
2016-10-04,2016-10-04,Gothaer Lebensversicherung AG,DE56100500006632040657,BELADEBEXXX,79-712827-60 ABBUCHUNG AM 0 4.10.2016 LEBENS-VERSICHERU NG FILIP RYCHNAVSKY GL,-75.1,EUR
2016-10-04,2016-10-03,Bremer Straßenbahn Aktiengesellschaft,DE93290500001002340009,BRLADE22XXX,Sollstellung 30141307/1/77 01.10.2016/,-57.1,EUR
2016-10-04,2016-10-04,Landesbank Hessen-Thuringen Girozentrale,DE47500500000959566027,HELADEFF,2016-10-01T12:58:48 Karte3 2018-12,-48,EUR
2016-10-04,2016-10-03,Landesbank Hessen-Thuringen Girozentrale,DE47500500000959566027,HELADEFF,2016-09-29T08:29:01 Karte3 2018-12,-12.74,EUR
2016-10-04,2016-10-04,LIESELOTTE PISO,DE45200100200411761207,PBNKDEFFXXX,MIETE JUNGMANN RYCHNAVSKY,-725,EUR
2016-10-04,2016-10-01,,,,"Abrechnungszeitraum vom 01.07.2016 bis 30.09.2016 Abrechnung 30.09.2016                                                0,00+  Sollzinssätze am 30.09.2016 10,9500 v.H. für Kontoüberziehungen  Die Anpassungen des Zinssatzes für Kontoüberziehungen sind abhängig von der Entwicklung des 3-Monats-EURIBOR. Abrechnung 30.09.2016",0,EUR
2016-10-04,2016-10-01,,,,"Entgelte vom 01.09.2016 bis 30.09.2016                               4,90-  Grundpreis                  1 x    4,90                4,90- -------------- Abrechnung 30.09.2016                                                4,90- Entgeltabrechnung",-4.9,EUR
2016-09-30,2016-09-30,DB Vertrieb GmbH,DE02100100100152517108,PBNKDEFFXXX,Fahrschein 832557724,-39,EUR
2016-09-30,2016-09-30,Landesbank Hessen-Thuringen Girozentrale,DE47500500000959566027,HELADEFF,2016-09-28T10:03:07 Karte3 2018-12,-90,EUR
2016-09-29,2016-09-29,Kamps 1,DE85120800000101752405,DRESDEFF120,2016-09-27T07:01:16 Karte3 2018-12,-11.24,EUR
2016-09-29,2016-09-29,Landesbank Hessen-Thuringen Girozentrale,DE47500500000959566027,HELADEFF,2016-09-27T14:22:22 Karte3 2018-12,-93.02,EUR
2016-09-29,2016-09-29,Landesbank Hessen-Thuringen Girozentrale,DE47500500000959566027,HELADEFF,2016-09-27T15:24:38 Karte3 2018-12,-25,EUR
2016-09-29,2016-09-29,Landesbank Hessen-Thuringen Girozentrale,DE47500500000959566027,HELADEFF,2016-09-27T18:04:29 Karte3 2018-12,-15.5,EUR
2016-09-29,2016-09-29,Landesbank Hessen-Thuringen Girozentrale,DE47500500000959566027,HELADEFF,2016-09-27T19:23:12 Karte3 2018-12,-22.65,EUR
2016-09-28,2016-09-28,DB Vertrieb GmbH,DE02100100100152517108,PBNKDEFFXXX,BahnCard 7081410116507326,-271,EUR
2016-09-27,2016-09-27,REWE Bremen Kulenkampffallee,DE94500101111932685100,ESSEDE5F,230920312561603181256004373 REWE SAGT DANKE. 41404213,-14.95,EUR
2016-09-27,2016-09-27,AMAZON MEDIA EU SARL,DE64300308801938627009,TUBDDEDD,D01-0633500-7174724 866-321 -8851 1587312465534914,-14.36,EUR
2016-09-26,2016-09-26,GA NR00002077 BLZ29050101 3,,,26.09/17.46UHR SPKHB-F030,-350,EUR
2016-09-26,2016-09-23,GA NR00002077 BLZ29050101 3,,,23.09/20.14UHR SPKHB-F030,-50,EUR
2016-09-20,2016-09-20,DB Vertrieb GmbH,DE02100100100152517108,PBNKDEFFXXX,Fahrschein SOW91X,-33,EUR
2016-09-20,2016-09-20,REWE Bremen Kulenkampffallee,DE94500101111932685100,ESSEDE5F,170908542559033181256004372 REWE SAGT DANKE. 41404213,-40.24,EUR
2016-09-20,2016-09-20,BUDDAHAWELT,DE75290501010001068113,SBREDE22XXX,2016-09-19T18:05:23 Karte3 2018-12,-13.5,EUR
2016-09-19,2016-09-19,GA NR00002056 BLZ29050101 3,,,19.09/17.33UHR SPKHB-F002,-50,EUR
2016-09-19,2016-09-19,"Michael Klös, TMI Bremer Sprechstun",DE21120300001008808873,BYLADEM1001,"TOASTMASTERS FILIP RYCHNAVS KY KATHARINA JUNGMANN DATUM 17.09.2016, 14.36 UHR1.TAN 436044 ANZAHL 1",-108,EUR
2016-09-16,2016-09-16,GA NR00002126 BLZ29050101 3,,,16.09/07.17UHR SPKHB-F507,-50,EUR
2016-09-16,2016-09-16,AUTO BURGHARDT GMBH,DE24291517001170018921,BRLADE21SYK,2016-09-15T17:49:18 Karte3 2018-12,-23.45,EUR
2016-09-16,2016-09-16,REWE Bremen Kulenkampffallee,DE94500101111932685100,ESSEDE5F,140918242006953181256004374 REWE SAGT DANKE. 41404213,-26.63,EUR
2016-09-16,2016-09-16,AMAZON PAYMENTS EUROPE S.C.A.,DE87300308801908262006,TUBDDEDD,304-0527781-6869151 Amazon .Mktplce EU-DE 273251183917 2103,-24.79,EUR
2016-09-16,2016-09-16,Tüv NORD,DE59360800800525943500,DRESDEFF360,"INVOICE: 5337799804 CUSTOME R: CPDAUSLAND         DATUM 15.09.2016, 21.48 UHR1.TAN 288447 ANZAHL 1",-17.5,EUR
2016-09-13,2016-09-13,REWE Bremen Kulenkampffallee,DE94500101111932685100,ESSEDE5FXXX,100909542540813181256004373 REWE SAGT DANKE. 41404213,-44.89,EUR
2016-09-13,2016-09-13,REWE Markt GmbH-ZW-NL Nord,DE94500101111932685100,ESSEDE5FXXX,100920200134773181256032161 REWE SAGT DANKE. 41400395,-7.47,EUR
2016-09-12,2016-09-12,AMAZON PAYMENTS EUROPE S.C.A.,DE87300308801908262006,TUBDDEDD,304-2380894-9581118 Amazon .Mktplce EU-DE 071706129998 2276,-10.49,EUR
2016-09-09,2016-09-09,GA NR00002090 BLZ29050101 3,,,09.09/06.51UHR SPKHB-F010,-50,EUR
2016-09-09,2016-09-09,BREPARK GmbH,DE30290500001004499005,BRLADE22XXX,EASY-KARTE,-4,EUR
2016-09-08,2016-09-08,PayPal Europe S.a.r.l. et Cie S.C.A,DE88500700100175526303,DEUTDEFFXXX,"PP.4835.PP . NETFLIX COM, I hr Einkauf bei NETFLIX COM",-9.99,EUR
2016-09-08,2016-09-08,AMAZON PAYMENTS EUROPE S.C.A.,DE87300308801908262006,TUBDDEDD,305-8487850-5903531 Amazon .Mktplce EU-DE 073151337331 6692,-10,EUR
2016-09-06,2016-09-06,Telekom Deutschland GmbH,DE04200100200198418205,PBNKDEFFXXX,Rech.Nr. 9622211483 260816 Vertragskonto 5604026549,-42.45,EUR
2016-09-06,2016-09-06,SATURN SAGT DANKE.,DE38300500000001107713,WELADEDDXXX,2016-09-05T17:47:45 Karte3 2018-12,-7.99,EUR
